0,1,2,Class
0.5190586,0.29415613,0.18678524,0.0
0.0011696315,0.0023274082,0.996503,1.0
0.5125476,0.4587219,0.02873047,0.0
0.0028205558,0.039646164,0.95753324,0.0
0.27053103,0.5421453,0.18732369,0.0
0.24326211,0.72034085,0.036397044,0.0
0.20951244,0.6534403,0.13704719,0.0
0.3504288,0.2536816,0.3958897,0.0
0.19774647,0.75392413,0.048329316,0.0
0.52100456,0.34905472,0.12994073,0.0
0.028568666,0.24612819,0.7253031,1.0
0.2900147,0.6907446,0.0192407,0.0
0.69157237,0.2307845,0.077643156,0.0
0.30121657,0.33814296,0.36064053,0.0
0.22992335,0.7425584,0.027518291,0.0
0.03458681,0.58419657,0.38121665,1.0
0.04294797,0.5453059,0.41174605,0.0
0.43874285,0.42819473,0.13306238,0.0
0.027894534,0.94561625,0.026489234,0.0
0.24691309,0.5390571,0.21402977,0.0
0.21512054,0.6492238,0.13565569,2.0
0.047356334,0.84057504,0.11206857,1.0
0.081537545,0.56047726,0.35798517,0.0
0.030746758,0.9441234,0.02512993,0.0
0.17399845,0.7564757,0.06952587,2.0
0.08187932,0.73831904,0.17980163,0.0
0.734823,0.2517113,0.0134656085,0.0
0.06121869,0.21635717,0.72242415,0.0
0.1272382,0.60903597,0.26372582,0.0
0.016489532,0.012319322,0.9711911,2.0
0.19057555,0.17115836,0.638266,0.0
0.03855091,0.33018452,0.63126457,0.0
0.79868805,0.19241522,0.008896679,0.0
0.055393018,0.9000073,0.04459972,0.0
0.5336491,0.07421255,0.3921383,0.0
0.011963385,0.6901035,0.29793313,0.0
0.027578278,0.2348844,0.7375373,0.0
0.5149706,0.06656167,0.41846773,0.0
0.2802063,0.26807845,0.4517152,0.0
0.5364227,0.17468154,0.28889564,0.0
0.5147257,0.2803446,0.2049297,0.0
0.05470184,0.77840954,0.16688864,0.0
0.17388406,0.6993039,0.12681203,0.0
0.11936116,0.51884073,0.3617981,0.0
0.008340914,0.98822325,0.0034359593,1.0
0.159024,0.5906928,0.25028315,0.0
0.47322074,0.17896321,0.34781602,0.0
0.3792907,0.40565637,0.21505292,0.0
0.23772722,0.72759724,0.034675535,0.0
0.5913577,0.30471277,0.103929564,1.0
0.33892584,0.29520696,0.36586723,0.0
0.33328474,0.12304802,0.54366726,0.0
0.9754076,0.015457485,0.0091348365,0.0
0.6121467,0.23610905,0.15174422,0.0
0.93268067,0.002757506,0.06456194,1.0
0.06287381,0.5914226,0.34570363,0.0
0.18134,0.11757483,0.7010852,0.0
0.35279304,0.16442391,0.48278302,0.0
0.5665486,0.42513993,0.008311495,0.0
0.0027542058,0.99660254,0.0006432181,0.0
